id	old_slug	slug	name	birth_year	death_year	status	merged_into_person_id	review_result	evidence
6446e92c-4305-40dc-a1e6-b2685aca409b	girolamo-de-angelis	girolamo-de-angelis	Girolamo De Angelis	1567	1623	active		変更なし・全項目確認済みを意味しない	—
3945118d-3e3e-4959-ac92-9cf111d1353a	yi-chi-hang	yi-chi-hang	李志恒			active		変更なし・全項目確認済みを意味しない	—
4447993c-05a2-4064-920c-b7eee2016b9b	kunen	kunen	空念		1731	active		変更なし・全項目確認済みを意味しない	—
044c0878-a0b0-44ef-af58-8cc67c2cf261	matsumiya-kanzan	matsumiya-kanzan	松宮 観山	1686	1780	active		変更なし・全項目確認済みを意味しない	—
2e44bf73-b873-4613-83bb-500ddff25c8b	terashima-ryoan	terashima-ryoan	寺島 良安	1654		active		変更なし・全項目確認済みを意味しない	—
022e0858-b289-47d2-843f-b6e09176cf73	shoku-tenrei	shoku-tenrei	天嶺性空			active		変更なし・全項目確認済みを意味しない	—
d405cdcc-d32f-45f8-9014-f5207160476c	suga-toshinoru	suga-toshinoru	Suga Toshinoru (菅俊仍縷)?			active		変更なし・全項目確認済みを意味しない	—
ebd4265b-90b1-4094-b477-a29ed97d5c9c	stepan-p-krasheninnikov	stepan-p-krasheninnikov	Stepan P. Krasheninnikov		1755	active		変更なし・全項目確認済みを意味しない	—
c63176d8-94c2-4bb6-a379-86cff577ee43	itakura-genjiro	itakura-genjiro	板倉 源次郎			active		変更なし・全項目確認済みを意味しない	—
0eef2547-813e-4a38-b5fa-28659256d038	georg-wilhelm-steller	georg-wilhelm-steller	Georg Wilhelm Steller	1709	1746	active		変更なし・全項目確認済みを意味しない	—
fe25e9b7-0167-403d-bac5-c9a3a3605030	hayashi-shihei	hayashi-shihei	林 子平	1738	1793	active		修正	https://id.ndl.go.jp/auth/ndlna/00269629
a2de7997-7ab6-4b43-acd4-de9af8163612	sato-tomomi	sato-tomomi	佐藤 知己	1961		active		修正	https://id.ndl.go.jp/auth/ndlna/00553333
16e80dba-659f-421a-9e0f-6b073d40cc7e	mogami-tokunai	mogami-tokunai	最上 徳内	1755	1836	active		変更なし・全項目確認済みを意味しない	—
f4c012f9-ea32-46fa-9f44-250249a22422	uehara-kumajiro	uehara-kumajiro	上原 熊次郎		1827	active		変更なし・全項目確認済みを意味しない	—
8c600665-0f2e-4218-aa88-c07aea17ebe7	abe-chozaburo	abe-chozaburo	阿部 長三郎			active		変更なし・全項目確認済みを意味しない	—
1c5271f0-4023-4176-b187-f9556b4f1566	vasily-golovnin	vasily-golovnin	Vasily Golovnin	1776	1831	active		変更なし・全項目確認済みを意味しない	—
0544d181-5521-4fa6-ac8e-fcc94f6bf2d4	ilya-g-voznesensky	ilya-g-voznesensky	Ilya G. Voznesensky	1816	1871	active		変更なし・全項目確認済みを意味しない	—
