slug	name	catalogue_status	death_year_before	death_year_after	result	checked_at	ndl_query_url	ndl_hit_count	web_queries	evidence_urls	note
a-bugaeva	A Bugaeva	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=A%20Bugaeva&g=personalNames&num=100	0	"""A Bugaeva"" (obituary OR died OR ""passed away"") | ""A Bugaeva"" obituary died"		—
a-kuroshima	A. Kuroshima	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=A.%20Kuroshima&g=personalNames&num=100	0	"""A. Kuroshima"" (obituary OR died OR ""passed away"") | ""A. Kuroshima"" obituary died"		—
abe-chozaburo	阿部 長三郎	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E9%98%BF%E9%83%A8%E9%95%B7%E4%B8%89%E9%83%8E&g=personalNames&num=100	1	"""阿部 長三郎"" (訃報 OR 死去 OR 逝去 OR 生没年) | ""阿部長三郎"" 訃報 死去"		—
aihara-noriaki	相原 典明	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E7%9B%B8%E5%8E%9F%E5%85%B8%E6%98%8E&g=personalNames&num=100	1	"""相原 典明"" (訃報 OR 死去 OR 逝去 OR 生没年) | ""相原典明"" 訃報 死去"		—
aizawa-akiko	Aizawa Akiko	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Aizawa%20Akiko&g=personalNames&num=100	1	"""Aizawa Akiko"" (obituary OR died OR ""passed away"") | ""Aizawa Akiko"" obituary died"		—
akagi-sanpei	赤木 三兵	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E8%B5%A4%E6%9C%A8%E4%B8%89%E5%85%B5&g=personalNames&num=100	1	"""赤木 三兵"" (訃報 OR 死去 OR 逝去 OR 生没年) | ""赤木三兵"" 訃報 死去"		—
akasaka-norio	赤坂 憲雄	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E8%B5%A4%E5%9D%82%E6%86%B2%E9%9B%84&g=personalNames&num=100	1	"""赤坂 憲雄"" (訃報 OR 死去 OR 逝去 OR 生没年) | ""赤坂憲雄"" 訃報 死去"		—
akiba-minoru	秋葉 實	active	2015	2015	existing_death_matches_wikidata	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E7%A7%8B%E8%91%89%E5%AF%A6&g=personalNames&num=100	1		https://www.wikidata.org/wiki/Q20962782	—
akibe-hideo	秋辺 日出男	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E7%A7%8B%E8%BE%BA%E6%97%A5%E5%87%BA%E7%94%B7&g=personalNames&num=100	0	"""秋辺 日出男"" (訃報 OR 死去 OR 逝去 OR 生没年) | ""秋辺日出男"" 訃報 死去"		—
akibe-tokuhei	秋辺 得平	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E7%A7%8B%E8%BE%BA%E5%BE%97%E5%B9%B3&g=personalNames&num=100	1	"""秋辺 得平"" (訃報 OR 死去 OR 逝去 OR 生没年) | ""秋辺得平"" 訃報 死去"		—
akira-goto	Akira Goto	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Akira%20Goto&g=personalNames&num=100	23	"""Akira Goto"" (obituary OR died OR ""passed away"") | ""Akira Goto"" obituary died"		—
akiyama-hidetoshi	秋山 秀敏	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E7%A7%8B%E5%B1%B1%E7%A7%80%E6%95%8F&g=personalNames&num=100	0	"""秋山 秀敏"" (訃報 OR 死去 OR 逝去 OR 生没年) | ""秋山秀敏"" 訃報 死去"		—
alexander-akulov	Alexander Akulov	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Alexander%20Akulov&g=personalNames&num=100	0	"""Alexander Akulov"" (obituary OR died OR ""passed away"") | ""Alexander Akulov"" obituary died"		—
alexander-bukh	Alexander Bukh	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Alexander%20Bukh&g=personalNames&num=100	0	"""Alexander Bukh"" (obituary OR died OR ""passed away"") | ""Alexander Bukh"" obituary died"		—
alexander-vovin	Alexander Vovin	active	2022	2022	existing_death_matches_wikidata	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Alexander%20Vovin&g=personalNames&num=100	1		https://www.wikidata.org/wiki/Q848595	—
alexander-yu-akulov	Alexander Yu. Akulov	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Alexander%20Yu.%20Akulov&g=personalNames&num=100	0	"""Alexander Yu. Akulov"" (obituary OR died OR ""passed away"") | ""Alexander Yu. Akulov"" obituary died"		—
alfred-f-majewicz	Alfred F. Majewicz	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Alfred%20F.%20Majewicz&g=personalNames&num=100	1	"""Alfred F. Majewicz"" (obituary OR died OR ""passed away"") | ""Alfred F. Majewicz"" obituary died"		—
amanai-shigeki	天内 重樹	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E5%A4%A9%E5%86%85%E9%87%8D%E6%A8%B9&g=personalNames&num=100	0	"""天内 重樹"" (訃報 OR 死去 OR 逝去 OR 生没年) | ""天内重樹"" 訃報 死去"		—
amano-tetsuya	天野 哲也	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E5%A4%A9%E9%87%8E%E5%93%B2%E4%B9%9F&g=personalNames&num=100	2	"""天野 哲也"" (訃報 OR 死去 OR 逝去 OR 生没年) | ""天野哲也"" 訃報 死去"		—
anetai-masaki	姉帯 正樹	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E5%A7%89%E5%B8%AF%E6%AD%A3%E6%A8%B9&g=personalNames&num=100	0	"""姉帯 正樹"" (訃報 OR 死去 OR 逝去 OR 生没年) | ""姉帯正樹"" 訃報 死去"		—
ann-elise-lewallen	ann-elise lewallen	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=ann-elise%20lewallen&g=personalNames&num=100	0	"""ann-elise lewallen"" (obituary OR died OR ""passed away"") | ""ann-elise lewallen"" obituary died"		—
