slug	name_before	name_after	kana_before	kana_after	latin_before	latin_after	status	sources	note
girolamo-de-angelis	Girolamo De Angelis	Girolamo De Angelis			Girolamo De Angelis	Girolamo De Angelis	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
yi-chi-hang	李志恒	李志恒			Yi Chi-hang	Yi Chi-hang	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
kunen	空念	空念			Kunen	Kunen	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
matsumiya-kanzan	松宮 観山	松宮 観山		まつみや かんざん	Matsumiya Kanzan	Matsumiya Kanzan	verified-update	https://id.ndl.go.jp/auth/ndlna/00270763	姓名と生年が一致するNDL典拠の読み。
terashima-ryoan	寺島 良安	寺島 良安			Terashima Ryoan	Terashima Ryoan	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
shoku-tenrei	天嶺性空	天嶺性空			Shoku Tenrei	Shoku Tenrei	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
suga-toshinoru	Suga Toshinoru (菅俊仍縷)?	Suga Toshinoru (菅俊仍縷)?			Suga Toshinoru	Suga Toshinoru	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
stepan-p-krasheninnikov	Stepan P. Krasheninnikov	Stepan P. Krasheninnikov			Krasheninnikov, Stepan P.	Krasheninnikov, Stepan P.	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
itakura-genjiro	板倉 源次郎	板倉 源次郎			Itakura Genjiro	Itakura Genjiro	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
georg-wilhelm-steller	Georg Wilhelm Steller	Georg Wilhelm Steller			Georg Wilhelm Steller	Georg Wilhelm Steller	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
hayashi-shihei	林 子平	林 子平		はやし しへい	Hayashi Shihei	Hayashi Shihei	verified-update	https://id.ndl.go.jp/auth/ndlna/00269629	既存の人物同定で照合したNDL典拠の読み。
sato-tomomi	佐藤 知己	佐藤 知己		さとう ともみ	Sato Tomomi	Sato Tomomi	verified-update	https://id.ndl.go.jp/auth/ndlna/00553333	既存の人物同定で照合したNDL典拠の読み。
