slug	name_before	name_after	kana_before	kana_after	latin_before	latin_after	source
oni-haruto	鬼 春人	鬼 春人		おに はるひと	Oni Haruto	Oni Haruhito	https://ci.nii.ac.jp/author/DA08556657
p-14v1ctr	本田 克代	本田 克代		ほんだ かつよ			https://ci.nii.ac.jp/author/DA18398202
kaizawa-turushino	貝澤 とぅるしの	貝澤 とぅるしの		かいざわ とぅるしの	Kaizawa Turushino	Kaizawa Turushino	https://ci.nii.ac.jp/author/DA18475052
nabesawa-nepuki	鍋澤 ねぷき	鍋澤 ねぷき		なべさわ ねぷき	Nabesawa Nepuki	Nabesawa Nepuki	https://ci.nii.ac.jp/author/DA18475110
murakami-keiji	村上 啓司	村上 啓司		むらかみ けいじ	Murakami Keiji	Murakami Keiji	https://ci.nii.ac.jp/author/DA18366115
sato-genrokuro	佐藤 玄六郎	佐藤 玄六郎		さとう げんろくろう	Satō Genrokurō	Satō Genrokurō	https://ci.nii.ac.jp/author/DA08618991
kunen	空念	空念		くうねん	Kunen	Kunen	https://id.ndl.go.jp/auth/ndlna/01230875
shinohara-chika	篠原 智花	篠原 智花		しのはら ちか	Shinohara Chika	Shinohara Chika	https://id.ndl.go.jp/auth/ndlna/001263221
kitakaze-isokichi	北風 磯吉	北風 磯吉		きたかぜ いそきち	Kitakaze Isokichi	Kitakaze Isokichi	https://ci.nii.ac.jp/author/DA18303975
p-1bcg76a	呉 松旆	呉 松旆		ご しょうはい	Wu Sung-Pei	Siông-phài Ngôo	https://researchmap.jp/wusungpei
iguchi-toshio	井口 利夫	井口 利夫		いぐち としお	Iguchi Toshio	Iguchi Toshio	https://aterui.ws.hosei.ac.jp/togo/detail.php?id=15589&domain=ezo
cjyet-yo	于 拙	于 拙		ウ セツ	Cjyet Yo	Cjyet Yo	https://researchmap.jp/yocjyet
maruno-kazuko	丸野 和子	丸野 和子		まるの かずこ	Maruno Kazuko	Maruno Kazuko	http://aynuitak.g2.xrea.com/malnovatitolo/AT20_titoloj.htm
hamada-takashi	浜田 隆史	浜田 隆史		はまだ たかし	Hamada Takashi	Hamada Takashi	http://aynuitak.g2.xrea.com/malnovatitolo/AT20_titoloj.htm
igarashi-ryo	五十嵐 涼	五十嵐 涼		いがらし りょう	Igarashi Ryo	Igarashi Ryo	https://aclanthology.org/2024.nlp4dh-1.40/
sakuma-manabu	佐久間 学	佐久間 学		さくま まなぶ	Manabu Sakuma	Manabu Sakuma	https://www.jstage.jst.go.jp/article/aija/80/707/80_167/_pdf/-char/ja
saga-ayami	佐賀 彩美	佐賀 彩美		さが あやみ	Saga Ayami	Saga Ayami	https://www.hkk.or.jp/kouhou/file/no663_series-ainu.pdf
p-1babm4k	兼俊明夫	兼俊明夫		かねとし あきお		Akio Kanetoshi	https://www.iph.pref.hokkaido.jp/Kankobutsu/Shoho/annual46/shoho460206.pdf
kato-daiki	加藤 大樹	加藤 大樹		かとう だいき	Katō Daiki	Katō Daiki	https://www.ieice.org/publications/conference-FIT-DVDs/FIT2002/pdf/E/E_49.PDF
p-3kz7ca	南 収	南 収		みなみ おさむ	Minami Osamu	Minami Osamu	https://dl.ndl.go.jp/pid/11626449
oikawa-akihiko	及川 明彦	及川 明彦		おいかわ あきひこ	Oikawa Akihiko	Oikawa Akihiko	https://aterui.ws.hosei.ac.jp/togo/detail.php?id=9753&domain=ezo
mega-junya	女鹿 潤哉	女鹿 潤哉		めが じゅんや	Mega Jun’ya	Mega Jun’ya	https://aterui.ws.hosei.ac.jp/togo/detail.php?id=9753&domain=ezo
yoshida-erika	吉田 恵理佳	吉田 恵理佳		よしだ えりか	Yoshida Erika	Yoshida Erika	https://www.tufs.ac.jp/ts/personal/kazama/Journal.html
yamaguchi-shinju	山口 伸樹	山口 伸樹		やまぐち のぶき		Yamaguchi Nobuki	https://opac.ll.chiba-u.jp/da/curator/900040762/
hirosawa	廣澤	廣澤 慎太郎		ひろさわ しんたろう	Hirosawa	Shintaro Hirosawa	https://researchmap.jp/hirosawa.shintaro
okada-yuki	岡田 勇樹	岡田 勇樹		おかだ ゆうき	Okada Yūki	Okada Yūki	https://fmpipausi.sakura.ne.jp/menu.html
p-1cy2d4k	小川 広	小川 広		おがわ ひろし		Hiroshi Ogawa	https://www.iph.pref.hokkaido.jp/Kankobutsu/Shoho/annual46/shoho460204.pdf
