slug	name_before	name_after	kana_before	kana_after	latin_before	latin_after	status	note	sources
kamemaru-yukiko	亀丸由紀子	亀丸由紀子		かめまる ゆきこ	Kamemaru Yukiko	Kamemaru Yukiko	verified	著者紹介にかなを明記。北海道博物館所属と装身具研究で照合。	https://www.hkk.or.jp/kouhou/file/no707_ainurace.pdf
miyama-osamu	美山 治	美山 治		みやま おさむ	Miyama Osamu	Miyama Osamu	verified	筑波大学博士論文審査要旨に氏名のふりがな。登録論文の題名と一致。	https://tsukuba.repo.nii.ac.jp/record/14346/files/A3018.pdf
hirota-toru	廣田 徹	廣田 徹		ひろた とおる	Hirota Tōru	Hirota Tōru	verified	研究者登録にヒロタ トオル。日本文学・専修大学北海道短期大学所属で照合。	https://jglobal.jst.go.jp/detail?JGLOBAL_ID=200901004507476272 | https://ndlsearch.ndl.go.jp/books/R000000004-I6883864
mae-masanao	前 正七生	前 正七生		まえ まさなお	Mae Masanao	Mae Masanao	verified	大学教員総覧にマエマサナオ。アイヌ文化に関する研究業績と照合。	https://gyoseki.ccb.shukutoku.ac.jp/stuhp/KgApp/k03/resid/S000285
yachita-mio	谷地田 未緒	谷地田 未緒		やちた みお	Yachita Mio	Yachita Mio	verified	博物館への取材記事の本人紹介にやちた・みお。	https://www.kyogei.co.jp/data_room/hana/pdf/bouquet14_b5.pdf
ono-yohei	小野洋平	小野洋平		おの ようへい	Ono Yohei	Ono Yohei	verified	本人researchmapのオノ ヨウヘイ。登録済み研究者IDと一致。	https://researchmap.jp/ono_yohei/association_memberships/24583953/
inoue-takuya	井上拓也	井上拓也		いのうえ たくや	Inoue Takuya	Inoue Takuya	verified	大学の本人紹介PDFにイノウエ タクヤ。	https://www.ritsumei.ac.jp/file.jsp?id=688634
yahata-tomoe	八幡 巴	八幡 巴絵		やはた ともえ	Yahata Tomoe	Yahata Tomoe	verified	研究者登録にヤハタ トモエ。国立アイヌ民族博物館の白老ルウンペ論文と照合。	https://jglobal.jst.go.jp/detail?JGLOBAL_ID=202401006812002248 | https://archivenam.ainu-upopoy.jp/staff/
yazaki-haruna	矢崎 春菜	矢崎 春菜		やざき はるな	Yazaki Haruna	Yazaki Haruna	verified	道立図書館の講師紹介にかな。アイヌ口承文芸研究・博物館所属で照合。	https://www.library.pref.hokkaido.jp/web/hoppo/qulnh00000000gk3.html
kuwabayashi-kenji	桑林 賢治	桑林 賢治		くわばやし けんじ	Kuwabayashi Kenji	Kuwabayashi Kenji	verified	本人研究者登録にクワバヤシ ケンジ。アイヌの記憶の場所研究で照合。	https://jglobal.jst.go.jp/detail?JGLOBAL_ID=202101011924886680
