keep_slug	merge_slug	new_slug	note
genzo-sarashina	p-14h09wv		更科 源蔵; same Wikidata item Q11515150
hidezo-yamada	p-1m0sdnz		山田 秀三
hirofumi-kato	p-b9qpuy		加藤 博文
kazuyuki-tanimoto	p-bmjmr7		谷本 一之
koji-maeda	p-73vdv3		前田 耕司
koji-tochinai	p-13nud53		栃内 香次
kono-hiromichi	p-1xtz98		河野 廣道 / 河野 広道
mokottunas-kitahara	p-6ghjis		北原 モコットゥナㇱ / 北原 次郎太; same Q92657473
ogihara-shinko	p-zu0j3h		荻原 真子 / 荻原 眞子
shichiro-murayama	p-11tm1i0		村山 七郎; same Q7496116
wada-bunjiro	p-12c82fl		和田 文治郎
p-1cm34pn	p-14dam0m	ota-ryu	太田 竜, born 栗原 登一; same Q7385483
toru-asai	p-1fhspjb		浅井 亨
shizue-ukaji	p-1fjdt0a		宇梶 静江
yamabe-yasunosuke	p-1myvkr1		山辺 安之助
shozaburo-kanazawa	p-1oqavzn		金澤 庄三郎 / 金沢 庄三郎
tatsuya-kawahara	p-1ril0bu		河原 達也
p-vanq1	p-f2z1gj	chiri-mutsumi	知里 むつみ / 横山 むつみ; same Q128896159
ryuzo-torii	p-mp1g3v		鳥居 龍藏
