keep_slug	merge_slug	new_slug	note
abe-chozaburo	p-1hnx9qy		同じ阿部長三郎による蝦夷方言。
nakano-tomoe	p-1b2n8qc		中野巴。既存の検討済み統合候補。
murasaki-kyoko	p-1pt2eas		村崎恭子／村﨑恭子。
kindaichi-kyosuke	p-10qepje		金田一京助の著者役割表示が名前に混入。
alexander-yu-akulov	alexander-akulov		Ainu linguistics、同じAlexander Akulovのミドルイニシャル差。
kirikae-hideo	p-17c61nk		切替英雄の姓名順の差。
mokottunas-kitahara	p-3x3ob		アイヌの真実等で北原モコットゥナㇱの姓だけが切り出されたレコード。
mokottunas-kitahara	p-33mypx		同じ書籍で北原モコットゥナㇱの名だけが切り出されたレコード。
shiraishi-hidetoshi	p-zczg8j		白石英才の姓名順の差。
chisato-dubreuil	chisato-dubreuil-2		Chisato (Kitty) Dubreuil。https://apjjf.org/wp-content/uploads/2023/11/article-2110.pdf
p-1hvppjg	p-1hw7p2a		丸山隆司の互換漢字。NDL典拠と著作分野が一致。
kono-motomichi	p-1s1xuvx		河野本道の選という責任表示が混入。
narumi-hideshi	p-1etbux2		鳴海日出志の姓名順の差。
terada-yoshitaka	p-1n213a8		寺田吉孝の訳という責任表示が混入。
terada-yoshitaka	p-a9jl3o		Йоситака ТЭРАДА。同じドブロトヴォルスキー辞典翻訳連載のロシア語表記。
yasuda-setsuhiko	p-ppm4a7		安田節彦の訳という責任表示が混入。
yasuda-setsuhiko	p-1x34rk8		Сэцухико ЯСУДА。同じ辞典翻訳連載のロシア語表記。
tamura-suzuko	p-u0mwi1		田村すゞ子／すず子田村。姓名順と仮名表記の差。
batchelor-john	p-1iix9fs		John Batchelor／ジョン・バチラー。NDL00432504。
basil-hall-chamberlain	chamberlain-basil-hall-1850-1935		Basil Hall Chamberlain。NDL00435646。
kirsten-refsing	refsing		The Ainu Languageの著者Kirsten Refsing。
mikhail-mikhailovich-dobrotvorsky	m-m-dobrotvorskii		1875年Ainu–Russian辞典著者。https://sakh-virtualmuseum.ru/dobrotvorskiy-mikhail-mikhaylovich
mikhail-mikhailovich-dobrotvorsky	m-m		同辞典の日本語・ロシア語対訳連載の著者。
mitsuru-ota	p-ch68k3		太田満／太田マルクオッカイ満。前回の没年調査で同定。
hiraga-sada	hiraga-sadamo		平賀サダ／平賀さだも。同じ平取の口承文芸伝承者。
otomo-yukio	tomizo-taisho		大友幸男の別名、大正十三造。NDL00367668。
ptaszynski-michal	micha-ptaszynski		Michał Ptaszyński。Ainu NLPの同じ共著者群と所属。
echizenya-hiroshi	hiroshi-echizen-ya		越前谷博／Hiroshi Echizen-ya。同じ対訳抽出研究。
jussi-nurmi	nurmi-jussi-henri-sebastian		北海道大学のアイヌ語否定表現研究。https://eprints.lib.hokudai.ac.jp/repo/huscap/all/88323/
ijas-silja	p-1gkpt1n		イヤスシリヤ。https://eprints.lib.hokudai.ac.jp/repo/huscap/all/88326/09_3_Ijas.pdf
p-15abopl	kohei-matsuura		松浦孝平。アイヌ民話アーカイブの音声認識研究。
p-1yumqo7	tsuda-nobuko		津田命子。https://ci.nii.ac.jp/author/DA1687319X
p-1nobjlt	takashi-kinase		木名瀬高嗣。https://tus.elsevierpure.com/ja/persons/takashi-kinase/
sakakibara-masafumi	masafumi-sakakihara		榊原正文。北方四島のアイヌ語地名ノート等、同じ著作。
josef-kreiner	p-30hnss		クライナーヨーゼフ。同じAinu研究。
john-c-maher	c		マーハ ジョン C.。多言語教育・アイヌ言語復興の同じ研究者。
takahashi-yasui	yasushige-takahashi		高橋靖以。https://eprints.lib.hokudai.ac.jp/repo/huscap/all/34543/
p-7gxsyg	p-yy1781		北嶋由紀（イサイカ）。同じアイヌ服飾研究。
narita-shuichi	p-1coy4an		成田修一／ナリタシュウイチ。同じ嘉永七年のアイヌ語研究。
matsuura-takeshiro	p-1fu17q9		多氣志樓主人は松浦武四郎の号。校正後方羊蹄おろしの著者。
bugaeva-anna	a-bugaeva		アンナ・ブガエワ／A Bugaeva。同じアイヌ語類型論研究。
kimura-jun		kimura-makoto	教育学者の読み、きむらまこと。出版社プロフィール。
utagawa-hiroshi		udagawa-hiroshi	宇田川洋の読み、うだがわひろし。
takahashi-yasui		takahashi-yasushige	高橋靖以の読み、たかはしやすしげ。北海道大学リポジトリ。
sakaguchi-ryo	j-m		阪口諒とJ. M. Dixonの複合レコード。Dixonを別に登録し、この旧レコードは阪口諒へ統合。
bronis-aw-pi-sudski	pilsudski		Materials for the Study of the Ainu Language and Folklore (Cracow 1912)の著者。
p-15abopl	matsuura-kohei-et-al		同じ音声コーパス論文の第一著者。共著者の既存リンクを保持。
